year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,9E,Endeavor Air Inc.,RIC,"Richmond, VA: Richmond International",309.00,49.00,13.25,1.00,16.73,0.00,18.02,19.00,0.00,3715.00,1112.00,146.00,833.00,0.00,1624.00
2022,7,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",88.00,15.00,7.77,1.00,4.24,0.00,2.00,1.00,0.00,692.00,448.00,26.00,134.00,0.00,84.00
2022,7,9E,Endeavor Air Inc.,ROC,"Rochester, NY: Greater Rochester International",250.00,33.00,9.39,3.37,6.50,0.00,13.75,18.00,0.00,2607.00,1089.00,225.00,228.00,0.00,1065.00
2022,7,9E,Endeavor Air Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",183.00,37.00,5.04,0.82,13.51,0.00,17.63,16.00,1.00,3838.00,564.00,118.00,717.00,0.00,2439.00
2022,7,9E,Endeavor Air Inc.,SGF,"Springfield, MO: Springfield-Branson National",8.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,32.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,SHV,"Shreveport, LA: Shreveport Regional",95.00,17.00,7.70,0.92,5.93,0.00,2.45,0.00,0.00,560.00,172.00,22.00,211.00,0.00,155.00
2022,7,9E,Endeavor Air Inc.,STL,"St. Louis, MO: St Louis Lambert International",140.00,18.00,7.59,0.46,6.02,0.00,3.92,19.00,0.00,1367.00,449.00,44.00,568.00,0.00,306.00
2022,7,9E,Endeavor Air Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",223.00,31.00,17.04,0.00,4.08,0.00,9.88,13.00,0.00,1586.00,792.00,0.00,148.00,0.00,646.00
2022,7,9E,Endeavor Air Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",149.00,19.00,9.11,0.42,4.78,0.00,4.70,0.00,0.00,1536.00,1023.00,48.00,185.00,0.00,280.00
2022,7,9E,Endeavor Air Inc.,TVC,"Traverse City, MI: Cherry Capital",103.00,12.00,6.21,1.13,3.39,0.00,1.27,2.00,0.00,818.00,477.00,52.00,166.00,0.00,123.00
2022,7,9E,Endeavor Air Inc.,TYS,"Knoxville, TN: McGhee Tyson",218.00,45.00,13.85,0.27,13.79,0.00,17.09,8.00,2.00,3524.00,1020.00,29.00,576.00,0.00,1899.00
2022,7,9E,Endeavor Air Inc.,VLD,"Valdosta, GA: Valdosta Regional",87.00,19.00,8.36,1.90,2.94,0.00,5.80,0.00,0.00,886.00,339.00,187.00,109.00,0.00,251.00
2022,7,9E,Endeavor Air Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",111.00,15.00,7.77,1.37,2.50,0.00,3.37,1.00,0.00,951.00,538.00,115.00,167.00,0.00,131.00
2022,7,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",249.00,92.00,33.84,0.30,10.52,0.00,47.35,2.00,0.00,6582.00,1807.00,8.00,388.00,0.00,4379.00
